isbn,title,authors,overview
9780066212944,Searching For Intruders: A Novel In Stories,['Stephen Raleigh Byler'],"""Stephen Raleigh Byler unveils in eleven stories the evolving self-awareness of Wilson Hues, a hapless drifter in rural Pennsylvania who finds himself, in strange moments of illumination, obsessed with the consequences of his own action and inaction."" ""Hues is caught in the throes of a male-dominated and sometimes violent home life and subculture. His dark memories - rendered in vignettes between stories and serving as a backdrop for his everyday life - intrude upon his relationships with both men and women in such a way as to remind him of his own tenderness and weakness."" In this look at a man struggling to reconcile the effect of the past on his present-day actions, Byler writes about hunting, fishing, love, loss, and relationships with a sensitivity and warmth that balance the darker currents of his themes and the emotional torment of his characters."
9780071363495,The Last Mile:  Broadband And The Next Internet Revolution,"['Jason Wolf', 'Natalie Zee']","""The word is broadband and companies hope the sky is the limit. ""—The New York Times,March 23,1999
<p>How big is broadband? Its implementation will affect all 201 million current Internet users. The Last Mile provides the business community with the first look at this next Internet revolution. Discussing the business impact,strengths,and weaknesses of broadband in non-technical terms,managers and executives will learn how to become major players in the new digital future.</p>
<p>From definition to implementation,The Last Mile clearly shows readers how broadband can impact their businesses for success. Here,professionals will learn: how this latest Internet buzzword actually works; the technology behind broadband; how it is likely to affect various other industries; its overall limitations and how to deal with them; and how to identify new opportunities in the market due to the evolution of broadband.</p>
<p>Offering Internet connectivity up to 100 times faster than conventional modems,broadband is a breakthrough technology that promises to revolutionize the way we work,play,and communicate. With broadband,the Internet is no longer a linear,text-based medium,but a fully-interactive,""always-on"" super medium comprising telecommunications,television,radio,even household appliances.</p>
<p>Just how big is broadband from a strategic business perspective?</p>
<p>Currently,more than 10,000 people a day are signing up for some type of broadband service,and that figure is sure to rise dramatically in the months ahead. Already,broadband has begun to spawn revolutionary new forms of entertainment and advertising. Soon,it will radically alter the ways in which businesses of all sizesinteract with customers and each other.</p>
<p>According to the insiders at forward-thinking companies such as Kodak,TBWA/Chiat/Day,Columbia Tristar and other industry leaders profiled in this book,""the sky's the limit!""</p>
<p>How can you guarantee that your company will be a major player in a broadband world?</p>
<p>You can start by reading <i>The Last Mile</i> by leading Internet innovators and industry insiders Jason Wolf and Natalie Zee.</p>
<p><i>The Last Mile</i> arms business strategists and their technical staffs with their first detailed look at this rapidly emerging technology and the impact it will have on business over the next few months and for decades to come. It cuts through the hype to provide a realistic picture of broadband's vast potential,as well as its limitations. And,from definition to implementation,it clearly shows you how broadband can help your company achieve bold new levels of productivity and profits.</p>
<p><i>The Last Mile</i> fills you in on just as much as you need to know about how broadband works and the competing technologies involved. It tells you who the major players are in this nascent industry and who is likely to come out on top. It reveals which industries are most likely to be effected first by the broadband revolution and how. And,with the help of fascinating case studies,it gives you the inside scoop on companies at the leading-edge of the revolution who have already begun to exploit broadband's awesome potential.</p>
<p>Most importantly,<i>The Last Mile</i> provides practical,concrete advice on what you should be doing now to guarantee that your company won't be left behind in the evolutionary leap into a broadband world.</p>
<p>The broadband revolution has arrived. Find out how to make it work for your company in <i>The Last Mile</i>.</p>"
9780066210636,Veerappan: India's Most Wanted Man,['Sunaad Raghuram'],"""Veerappan: poacher, smuggler, killer - a fugitive who for more than three decades has sustained a crime frenzy as action packed and outlandish as anything Hollywood (or even Bollywood) could conjure."" ""Determined to escape the crushing poverty of his childhood village, Veerappan was lured to a life of crime in his adolescence and eventually amassed a gang with as many as 150 members. He has kidnapped wealthy men, poached precious resources, and viciously ambushed police, killing more than a hundred. He stole such great quantities of explosives from nearby granite operations that the government ordered the industry to shut down. Yet to this day he has eluded capture, despite the government's creation of a special task force, the sole purpose of which is to stop him."" ""The impenetrable Indian jungle provides him with shelter and refuge, while villagers, whether from fear or admiration, protect him from the police, so that year after year he has grown bolder and more power hungry. His most audacious act to date - the kidnapping of India's biggest film star - caused nationwide public upheaval and brought the film industry to a halt, while his demands for ransom presented the government with a crippling legal dilemma."" Investigative journalist Sunaad Raghuram's researched report follows Veerappan's violent progression from a small-time poacher to the bloodthirsty criminal who has flouted the entire Indian police force and government for decades. Using the personal testimony of Veerappan's family members and closest associates, Raghuram recounts this outlaw's crimes and examines his personal life as well, including a surprisingly touching first person account of what Veerappan's wife has endured. Veerappan: India's Most Wanted Man details the methods and madness of a man alternately hailed as a messiah and condemned as a murderer."
9780130909220,"The Economics of Women, Men, and Work","['Marianne A. Ferber', 'Anne E. Winkler']","/*9095B-3, 0-13-090922-X, Blau, Francine D., Economics of Women, Men and Work, 4/E*/  This single, highly accessible volume explores the most current summary and synthesis of research and data from economics and the social sciences on women, men, and work in the labor market and household.  Women and Men: Changing Roles in a Changing Economy. The Family as an Economic Unit. The Allocation of Time Between the Household and the Labor Market. Differences in Occupations and Earnings: Overview. Differences in Occupations and Earnings: The Human Capital Model. Differences in Occupations and Earnings: The Role of Labor Market Discrimination. Recent Developments in the Labor Market: Their Impact on Women and Men. Changing Work Roles and the Family. Policies to Balance Paid Work and Family. Gender Differences in Other Countries.  Economists, Sociologists, Social Workers, Demographers, Policy Analysts, Labor Market Analysts. Also of interest to noneconomists and students who would like to learn about gender issues in the workplace and in the family but have little, if any, prior background in economics."
9780130079725,Reading And Writing In The Academic Community,"['Mary Lynch Kennedy', 'Hadley M. Smith']","<b><i>Reading and Writing in the Academic Community</i></b> is a comprehensive rhetoric with engaging, timely readings.&nbsp; The authors wrote their book to include more coverage of the writing process to better meet the needs of students than other books in this market.&nbsp; The text presents the major types of academic writing students encounter as undergraduates while giving full consideration to the writing process and the basics of rhetoric.&nbsp; This text makes few assumptions about students' prior&nbsp;academic experience&nbsp;and provides explicit, step-by-step instruction in paraphrasing, summarizing, quoting, writing essays in response to readings, composing synthesis essays, and using sources to compose comparison-and-contrast essays, argument essays, analysis essays, evaluation essays, and research papers."
9780122661709,Automated Information Retrieval: Theory And Methods,"['Frants, V.']","<b>Automated Information Retrieval</b> describes a fully automated Boolean System and gives special attention to theoretical problems in automatic retrieval of textual information. The book details algorithms in eachprocess in the system, including those that are radically new in the retrieval process and those that are adaptable to the individual. New approaches to evaluating information retrieval systems and studying their performance are included.<br>
<br>
Key Features<br>
* Reviews the general principles of constructing any system, such as an information retrieval system<br>
* Provides a detailed analysis of basic concepts such as information need, information, information crisis, and the notation of information retrieval<br>
* Examines the goal, function, structure, and language of an information retrieval system<br>
* Describes the construction of an information retrieval system (methods, algorithms, and approaches)<br>
* Details different approaches to evaluating the results of information retrieval<br>
* Features new directions in the development of information retrieval systems

                        <p><b>Audience:</b> Upper level undergraduate and graduate students in computer science, information science and systems, and library automation. Researchers and practitioners in semantical information, information control, and management information systems.
</p>"
9780125641487,"Cilia And Flagella, Volume 47 (methods In Cell Biology)",['William Dentler'],"<b>Cilia and Flagella</b> presents protocols accessible to all individuals working with eukaryotic cilia and flagella. These recipes delineate laboratory methods and reagents, as well as critical steps and pitfalls of the procedures. The volume covers the roles of cilia and flagella in cell assembly and motility, the cell cycle, cell-cell recognition and other sensory functions, as well as human diseases and disorders. Students, researchers, professors, and clinicians should find the book's combination of ""classic"" and innovative techniques essential to the study of cilia and flagella.
<p>Key Features<br>
* A complete guide containing more than 80 concise technical chapters friendly to both the novice and experienced researcher<br>
* Covers protocols for cilia and flagella across systems and species from <i>Chlamydomonas</i> and <i>Euglena</i> to mammals<br>
* Both classic and state-of-the-art methods readily adaptable across model systems, and designed to last the test of time, including microscopy, electrophoresis, and PCR<br>
* Relevant to clinicians interested in respiratory disease, male infertility, and other syndromes, who need to learn biochemical, molecular, and genetic approaches to studying cilia, flagella, and related structures</p>


                        <p><b>Audience:</b> Graduate students, technicians, clinicians, and experienced researchers interested in the study of cilia and flagella. Cell, developmental, and molecular biologists, biochemists, geneticists, physiologists, neurobiologists, medical researchers, and biotechnologists.
</p>"
9780121531348,"Current Topics In Developmental Biology, Volume 34 (current Topics In Developmental Biology)","['Roger A. Pedersen', 'Gerald P. Schatten']","<b>Current Topics in Developmental Biology</b> provides a comprehensive survey of the major topics in the field of developmental biology. The volumes are valuable to researchers in animal and plant development, as well as to students and professionals who want an introduction to cellular and molecular mechanisms of development. The series has recently passed its 30-year mark, making it the longest-running forum for contemporary issues in developmental biology."
9780121822019,Methods in enzymology,['Lester Packer'],"<b>General Description of the Series:</b><br>The critically acclaimed laboratory standard for more than forty years, <b>Methods in Enzymology</b> is one of the most highly respected publications in the field of biochemistry. Since 1955, each volume has been eagerly awaited, frequently consulted, and praised by researchers and reviewers alike. Now with more than 300 volumes (all of them still in print), the series contains much material still relevant today--truly an essential publication for researchers in all fields of life sciences.<p>Key Features<br>* Oxidative Damage to Lipids, Proteins, and Nucleic Acids<br>* Antioxidant Assays in Cells, Body Fluids, and Tissues<br>* Oxidant and Redox Sensitive Steps in Signal Transduction and Gene Expression<br>* Noninvasive Methods</p>                        <p>The book contains predominantly black-and-white illustrations, with some color illustrations.</p>"
9780121822026,"Nitric Oxide, Part C: Biological And Antioxidant Activities",['Lester Packer'],"<b>General Description of the Volume:</b><br>
Nitric Oxide, recently designated ""Molecule of the Year,"" impinges on a wide range of fields in biological research, particularly in the areas of biomedicine and cell and organismal biology, as well as in fundamental chemistry. This volume will be a valuable resource for the experienced researcher as well as for those newly entering the field. This volume continues the coverage of new and important tools for the elucidation of Nitric Oxide action initiated in Volumes 268 and 269 of <b>Methods in Enzymology</b>. Techniques for researching the physiology and toxicity of nitric oxide in cellular and organismal systems are highlighted.<br>
<b>General Description of the Series:</b><br>
The critically acclaimed laboratory standard for more than forty years, <b>Methods in Enzymology</b> is one of the most highly respected publications in the field of biochemistry. Since 1955, each volume has been eagerly awaited, frequently consulted, and praised by researchers and reviewers alike. Now with more than 300 volumes (all of them still in print), the series contains much material still relevant today--truly an essential publication for researchers in all fields of life sciences.
<p>Key Features<br>
* Biological Activity<br>
* NO Donors: Nitrosothiols and Nitroxyls<br>
* Peroxynitrite<br>
* Oxidant and Antioxidant Action</p>


                        <p><b>Audience:</b> Researchers in biochemistry, molecular biology, physiology, pharmacology, cell biology, biomedicine, and neuroscience.
</p>"
