title,authors,overview
Painted Kitchen,"['Jones, Charyn.']","""...covers 18 different decorative paint effects, e.g., sponging, spattering, combing, stenciling, block printing.""—<i>Reference and Research Book News</i>. ""...handy, enjoyable guide offers creative and practical ways....""—<i>Country Almanac</i>. ""Packed with fun decorating ideas...valuable source of inspiration...""—<i>Select Homes &amp; Food</i>. 144 pages (75 in color), 7 1/2 X 10 1/4."
Selected Letters Of Eugene O`neill,"['Jackson Bryer', ""Eugene O'neill""]","""...essential to any understanding of...O'Neill if only because they demystify him."" -Arthur Miller, The New York Times Book Review"
The Freedmen's Bureau And Black Texans,"['Crouch, Barry A. , 1941-']","""[The] episodes in Texas Reconstruction history that Mr. Crouch relates, perhaps do more than broad generalizations to explain why the Freedmen's Bureau failed, and how we lost the peace after the Civil War.""-New York Times Book Review 
<p>""Crouch skillfully presents the Freedmen's Bureau as one of the most unique, misunderstood, and maligned ad hoc reform agencies ever devised by a democratic government in the name of social and political freedom and equality."" -East Texas Historical Journal</p>
<p>"". . . breaks new ground in Reconstruction history. [Crouch's] study is among the first on the bureau in Texas and the first to focus on the subdistrict agent, the subassistant commissioner."" -Journal of Southern History</p>
<p>Drawing on a wealth of previously unused documentation in the National Archives, this book offers new insights into the workings of the Freedmen's Bureau and the difficulties faced by Texas Bureau officials, who served in a remote and somewhat isolated area with little support from headquarters.</p>"
Ceramic Style: Making And Decorating Patterned Ceramic Ware,"['John Hinchcliffe', 'Wendy Barber']","""An attractive source of inspiration for students....Color photographs illustrate the sponged and stenciled designs gracing the earthenware pottery planters, plates, pitchers, and other vessels made by the authors...forming and decorating methods are shown in a step-by-step format.""—<i>Booklist</i>. ""....primary emphasis is on decorating and techniques. The color illustrations are excellent....Recommended.""—<i>LJ</i>. 160 pages (all in color), 8 3/4 X 11."
Wilderness Forever: Howard Zahniser And The Path To The Wilderness Act (weyerhaeuser Environmental Books),['Mark W. T. Harvey'],"""As a central figure in the American wilderness preservation movement in the mid-twentieth century, Howard Zahniser (1906-1964) was the person most responsible for the landmark Wilderness Act of 1964. While the rugged outdoorsmen of the early environmental movement, such as John Muir and Bob Marshall, gave the cause a charismatic face, Zahniser strove to bring conservations' concerns into the public eye and the preservationists' plans to fruition. In many fights to save besieged wild lands, he pulled together fractious coalitions, built grassroots support networks, wooed skittish and truculent politicians, and generated streams of eloquent prose celebrating wilderness."" ""Zahniser worked for the Bureau of Biological Survey (a precursor to the Fish and Wildlife Service) and the Department of the Interior, wrote for Nature magazine, and eventually managed the Wilderness Society and edited its magazine, Living Wilderness. The culmination of his wilderness writing and political lobbying was the Wilderness Act of 1964. All of its drafts included his eloquent definition of wilderness, which still serves as a central tenet for the Wilderness Society: ""an area where the earth and its community of life are untrammeled by man, where man himself is a visitor who does not remain."" The bill was finally signed into law shortly after his death."" Pervading his tireless work was a deeply held belief in the healing powers of nature for a humanity ground down by the mechanized hustle-bustle of modern, urban life. Zahniser grew up in a family of Methodist ministers, and although he moved away from any specific denomination, a spiritual outlook informed his thinking about wilderness. His love of nature was not so much a result of scientific curiosity as a sense of wonder at its beauty and majesty, and a wish to exist in harmony with all other living things. In this deeply researched and affectionate portrait, Mark Harvey brings to life this great leader of environmental activism."
Reading Freud: Explorations And Entertainments,['Peter Gay'],"""As every biographer of Freud must ruefully acknowledge, Freud, that great unriddler of mysteries, left behind some intriguing private mysteries of his own. It was because I hoped to solve some of these mysteries that the stratagem of finding my way to Freud by indirections commended itself to me."" -Peter Gay In this book, the eminent cultural historian and Freud scholar Peter Gay presents a series of essays in which he tries to ""reduce the blank spots on the map we now have of Freud's mind."" Engaging as well as illuminating, the essays range from reflections on Freud and Shakespeare to Gay's controversial spoof review of Freud's The Interpretation of Dreams.<br>
The book begins with ""Freud and the Man from Stratford,"" in which Gay describes Freud's fascination with the theory that the Earl of Oxford was the real author of the plays attributed to Shakespeare and speculates on the reasons for Freud's belief. ""Six Names in Search of an interpretation"" considers Freud's choices of names for his six children and what they revealed about his Jewishness, his love of science, and his ambivalent feelings toward his father. ""Freud on Freedom"" deals with the issue of determinism and free will in Freud's work. ""Reading Freud through Freud's Reading"" analyzes ten ""good"" books Freud identified in response to a questionnaire. <br>
The second half of the book, entitled ""Entertainments,"" includes an essay on ""Serious Jests"" that cites some vintage Jewish jokes frequently recounted by Freud and points out how these chestnuts illustrate not only psychoanalytic concepts but the anti-Semitism that permeated Freud's Vienna; the ""review"" of The Interpretation of Dreams, published in Harper's in 1981; ""A Gentile Science?"" which is a ""report"" on the work of one Sigmund Oberhufer, a fictitious Austrian doctor said to have ""invented"" psychoanalysis; and ""The Dog That Did Not Bark in the Night,"" Gay's account of the newly accessible correspondence between Freud and his sister-in-law Minna Bernays, who some writers claim was his lover. The essays, some of them published for the first time or expanded from their original versions, are accompanied by informative introductions."
Reading Freud: Explorations And Entertainments,['Peter Gay'],"""As every biographer of Freud must ruefully acknowledge, Freud, that great unriddler of mysteries, left behind some intriguing private mysteries of his own. It was because I hoped to solve some of these mysteries that the stratagem of finding my way to Freud by indirections commended itself to me."" -Peter Gay In this book, the eminent cultural historian and Freud scholar Peter Gay presents a series of essays in which he tries to ""reduce the blank spots on the map we now have of Freud's mind."" Engaging as well as illuminating, the essays range from reflections on Freud and Shakespeare to Gay's controversial spoof review of Freud's The Interpretation of Dreams.<br>
The book begins with ""Freud and the Man from Stratford,"" in which Gay describes Freud's fascination with the theory that the Earl of Oxford was the real author of the plays attributed to Shakespeare and speculates on the reasons for Freud's belief. ""Six Names in Search of an interpretation"" considers Freud's choices of names for his six children and what they revealed about his Jewishness, his love of science, and his ambivalent feelings toward his father. ""Freud on Freedom"" deals with the issue of determinism and free will in Freud's work. ""Reading Freud through Freud's Reading"" analyzes ten ""good"" books Freud identified in response to a questionnaire. <br>
The second half of the book, entitled ""Entertainments,"" includes an essay on ""Serious Jests"" that cites some vintage Jewish jokes frequently recounted by Freud and points out how these chestnuts illustrate not only psychoanalytic concepts but the anti-Semitism that permeated Freud's Vienna; the ""review"" of The Interpretation of Dreams, published in Harper's in 1981; ""A Gentile Science?"" which is a ""report"" on the work of one Sigmund Oberhufer, a fictitious Austrian doctor said to have ""invented"" psychoanalysis; and ""The Dog That Did Not Bark in the Night,"" Gay's account of the newly accessible correspondence between Freud and his sister-in-law Minna Bernays, who some writers claim was his lover. The essays, some of them published for the first time or expanded from their original versions, are accompanied by informative introductions."
"Resurrection, A War Journey: A Chronicle Of Events During And Following The Attack On Fort Jeanne D'arc At Metz, France, By F Company Of The 379th Regiment Of The 95th Infantry Division, November 14-21, 1944","['Gajdusek, Robert E.']","""Before us, several thousand yards of open fields...we were to cross, and historically, the great cavalry battlefields of several remote and now absurd wars."" For Robert E. Gajdusek, these fields represent the first step toward resurrection as he retrieves a lost personal past through a writing catharsis which refocuses the vast battlefields of history into a singular voice. Resurrection is Gajdusek's dramatic account of a single week in mid-November 1944 which has taken him more than fifty years to wrestle into words. Part of Patton's Third Army in World War II, Gajdusek's unit was chosen to spearhead the first assault on the impenetrable fortifications of Metz, France, held by the Germans. Uniquely structured, Resurrection intertwines a variety of narrative forms to give voice to experience. Gajdusek's war memories awaken in his own poetry, short stories, discursive reflections, and sometimes abortive essays, as well as in borrowed historical fragments. Resurrection is a strong anti-war statement stemming from the only honest indicator, personal experience."
Virginia Woolf: Becoming A Writer,['Katherine Dalsimer'],"""By the time she was twenty-four, Virginia Woolf had suffered a series of devastating losses that later she would describe as ""sledge-hammer blows,"" beginning with the death of her mother when she was thirteen years old and followed by those of her half-sister, father, and brother. Yet vulnerable as she was (""skinless"" was her word) she began, through these years, to practice her art - and to discover how it could serve her. Ultimately, she came to feel that it was her ""shock-receiving capacity"" that had made her a writer."" ""Astonishingly gifted from the start, Woolf learned to be attentive to the movements of her own mind. Through self-reflection she found a language for the ebb and flow of thought, fantasy, feeling and memory, for the shifts of light and dark. And in her writing she preserved, recreated and altered the dead, altering in the process her internal relationship with their ""invisible presence."" ""I will go backwards &amp; forwards"" she remarked in her diary, a comment on both her imaginative and writerly practice."" Following Woolf's lead, psychologist Katherine Dalsimer moves backward and forward between the work of Woolf's maturity and her early journals, letters, and published juvenilia to illuminate the process by which Woolf became a writer. Drawing on psychoanalytic theory as well as on Woolf's life and work, and trusting Woolf's own self-observations, Dalsimer offers a compelling account of a young artist's voyage out - a voyage that Virginia Woolf began by looking inward and completed by looking back."
Law And War: An American Story,"['Maguire, Peter (peter H.)']","""During the twentieth century, the United States attempted to redefine war crimes to include acts previously considered beyond the realm of objective judgment, and to determine appropriate punishments. This movement to replace blind vengeance with law culminated with the Nuremberg trials, one of the great historical dramas of modern times.""--BOOK JACKET."
Early Education And Psychological Development,['Barbara Biber'],"""Everyone who is concerned about the early years of development in children will find Dr. Biber's book, Early Education and Psychological Development intensely absorbing. It is a fascinating sharing of her experience as a major leader in early education over more than a half-century, at a time when implications of Dewey's thought, and that of Freud, Watson, Piaget were enriching and stimulating the thinking of educators and leaders in the field of child care. The intimate autobiographical context of her historical, psychological, and philosophical discussion plunges the reader into the very process of discovering new awarenesses of the complexity of child development. This is a unique book: it will be a classic, to give perspective to the present generation and those to follow.""-Lois Barclay Murphy<br>
<br>
""In this marvelous book, we have a record of the evolution of Barbara Biber's thinking on early childhood education and the personal, scientific, and intellectual forces which shaped her thought....It will be obvious to all who read this book why Biber has long been regarded as the premier worker in the field of early childhood education.""-Edward Zigler, from the Foreword<br>
<br>
""No other volume in the literature of early education brings together the reflections of an outstanding leader as they have developed over a period that is almost equivalent to the history of the field....A richly detailed and intimate picture of the construction of a knowledge base for the education of young children.""-Millie Almy, American Journal of Education"
"An American Theatre (deluxe Box Edition): The Story Of Westport Country Playhouse, 1931-2005",['Richard Somerset-ward'],"""For seventy-five years Westport Country Playhouse has faithfully reflected the story of American theatre. Founded by Lawrence and Armina Langner in 1931, it has never been more than a summer stock theatre, yet it has an astonishing pedigree. George Bernard Shaw and Noel Coward gave world premieres there; so did Leonard Gershe and A. R. Gurney in more recent times. Playwrights Eugene O'Neill and S. N. Behrman were closely linked to it, and talents as diverse as Jane Wyatt, Gene Kelly, Stephen Sondheim, and Liza Minnelli performed there early in their careers. The aristocracy of the acting profession and the giants of Hollywood appeared - Ethel Barrymore, Helen Hayes, Paul Robeson, Groucho Marx, Tyrone Power, Olivia de Havilland. And the Playhouse can claim a role in the creation of two of the American theatre's greatest musicals - Oklahoma! and My Fair Lady."" This illustrated book traces the entire story of Westport Country Playhouse from its beginnings in the midst of the Depression to its seventy-fifth anniversary renovations and rejuvenation. Filled with colorful characters and lively anecdotes, it is a story that will appeal to everyone who has ever been enchanted by the magic of a live theatre performance."
Beyond Earth Day: Fulfilling The Promise,"['Gaylord Nelson', 'Paul A. Wozniak', 'Susan M. Campbell']","""Gaylord Nelson is known and respected throughout the world as a founding father of the modern environmental movement and creator of Earth Day, the most influential public awareness campaign ever undertaken on behalf of global stewardship."" ""Now in the twilight of his career, Nelson offers guidance to a new generation. With the same eloquence that rallied the public more than thirty years ago, he details today's most crucial environmental concerns - from species and habitat losses to global climate change and population growth. Ever hopeful, Nelson outlines a compelling strategy for the planet and inspires citizens to reassert the environment as a national priority."" A book for anyone who cares deeply about our environment and wants to know what we can and must do now to save it. Beyond Earth Day is a classic guide by one of the natural world's great defenders."
