isbn,title,authors,overview
9780152046828,A Break With Charity: A Story About The Salem Witch Trials,['Ann Rinaldi'],"""Mistress Bishop,"" said Magistrate Corwin, ""you are accused of being a witch. How say you to this charge?""
<p>""I do not know what a witch is.""</p>
<p>Immediately the girls in the circle, who were sitting up front in the room, went into fits. They threw themselves on the floor and shrieked and wailed.... They twitched their bodies and howled like forest creatures at the time of the full moon. The howling was a terrible thing to hear. It cut through one's bones with its primitive sound.</p>


                        <p>While waiting for a church meeting in 1706, Susanna English, daughter of a wealthy Salem merchant, recalls the malice, fear, and accusations of witchcraft that tore her village apart in 1692.
</p>"
9780152056612,Little Blue Truck,"['Alice Schertle', 'Jill McElmurry']","<br><br><br><br>Beep! Beep! Beep! Meet Blue. A&nbsp;muddy country road is no match for this little pick up--that is, until&nbsp;he gets stuck&nbsp;while pushing a dump truck&nbsp;out of the muck. Luckily, Blue has made a pack of farm animal friends along his route. And they're willing to whatever it takes to get their pal back on the road. <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>Filled with truck sounds and animals noises, here is a rollicking homage to the power of friendship and the rewards of helping others.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;"
9780152047313,Borrowers Avenged,"['Mary Norton', 'Beth Krush', 'Joe & Beth Krush']","<div>Pod, Homily, and Arrietty Clock's huge adventures have been thrilling children young and old for fifty years--and their appeal is as strong as ever in these handsome new paperback packages. While the original beloved interior illustrations by Beth and Joe Krush have been retained, Marla Frazee's striking cover illustrations capture these little people with a larger-than-life appeal.<br>"
9780152163297,Hannah's Journal: The Story Of An Immigrant Girl,['Marissa Moss'],"<p><i>America!</i> Hannah's small European village buzzes with tales of life in a faraway land free from persecution. Cousin Esther has passage for two aboard a ship bound for New York, and Hannah convinces Mama and Papashka to let her use the extra ticket. Will America really be everything they've dreamed of?</p>


                        <p>In the Russian shtetl where she and her family live, Hannah is given a diary for her tenth birthday, and in it she records the dramatic story of her journey to America.
</p>"
9780152020224,It's About Dogs,['Tony Johnston'],"<p><i>Digging is a thing I love to do.</i><br>
<i>Dirt is riddled with old bones to chew.</i></p>
<p>What is it about dogs that fascinates us? Is it their humor, stubbornness, charm, greed? Is it their loyalty, nobility, naughtiness, haughtiness? Is it simply their abiding love? It's all this and more. Through poems and paintings, Shadow, Rufus, Mutterly, and more than forty others become utterly irresistible—revealing the very essence of dog. •Features 43 poems celebrating a child's best friend • Includes illustrations of more than 40 breeds of dogs</p>


                        <p>Presents forty-two poems--some funny, some poignant and philosophical--about dogs and their attributes, including their loyalty to people, their love of food and smells, and their varied appearances and personalities.
</p>"
9780152018481,How I Became A Pirate,['Melinda Long'],"<p><i>Pirates have green teeth—when they have any teeth at all. I know about pirates, because one day, when I was at the beach building a sand castle and minding my own business, a pirate ship sailed into view.</i> So proclaims Jeremy Jacob, a boy who joins Captain Braid Beard and his crew in this witty look at the finer points of pirate life by the Caldecott Honor–winning illustrator David Shannon and the storyteller Melinda Long. Jeremy learns how to say “scurvy dog,” sing sea chanteys, and throw food . . . but he also learns that there are no books or good night kisses on board: “Pirates don’t tuck.” A swashbuckling adventure with fantastically silly, richly textured illustrations that suit the story to a T.</p>


                        <p>Jeremy Jacob joins Braid Beard and his pirate crew and finds out about pirate language, pirate manners, and other aspects of their life.
</p>"
9780152165833,Big George: How A Shy Boy Became President Washington,['Anne F. Rockwell'],"<p>A boy from Virginia becomes the first president</p>
<p>Before he was the face on the dollar bill, George Washington was a shy boy with a hot temper. But George had character and adaptability. He taught himself courage and self-control. At an early age, and without really realizing it, George Washington gathered the qualities he’d need to become one of the greatest leaders America has ever known.<br>
Anne Rockwell’s prose is dignified, Matt Phelan’s illustrations are striking, and the details they reveal about George Washington’s early days are fascinating, sometimes tragic, and always moving.</p>
<p>Includes an author’s note.</p>"
9780152058050,Cyrano,['Geraldine Mccaughrean'],"<p>A gallant solider, a sharp wit, and a man of letters, Cyrano de Bergerac seems like the obvious romantic hero. He has just one noteworthy flaw: an improbably large nose.&nbsp;And&nbsp;after a lifetime of loving the beautiful Roxane from afar, Cyrano must find a way—any way at all—to express his feelings for her.<br>
&nbsp;&nbsp;&nbsp;&nbsp;Romantic, funny, and action packed, this adaptation is sure to win a whole new legion of fans for Edmond Rostand’s lovable soldier.</p>"
9780152053000,Sorcery and Cecelia or the Enchanted Chocolate Pot,"['Patricia C. Wrede', 'Caroline Stevermer']","<p>A great deal is happening in London and the country this season.</p><p>For starters, there's the witch who tried to poison Kate at the Royal College of Wizards. There's also the man who seems to be spying on Cecelia. (Though he's not doing a very good job of it-so just what <i>are</i> his intentions?) And then there's Oliver. Ever since he was turned into a tree, he hasn't bothered to tell <i>anyone</i> where he is.</p><p>Clearly, magic is a deadly and dangerous business. And the girls might be in fear for their lives . . . if only they weren't having so much fun!</p>                        <p>In 1817 in England, two young cousins, Cecilia living in the country and Kate in London, write letters to keep each other informed of their exploits, which take a sinister turn when they find themselves confronted by evil wizards.</p>"
9780152057251,Fire! Fire! Said Mrs. Mcguire,"['Bill Martin Jr', 'Vladimir Radunsky']","<p>A group of silly mice live happily in a cozy closet, until one day they spot a menacing orange glow through their keyhole. It must be . . . fire! What will they do? ""Water! Water!"" says Mrs. Votter. ""Break down the door!"" says Mrs. Orr. But is all the fuss really necessary?</p>
<p>Bill Martin Jr's classic text gets a fresh update from Vladimir Radunsky. With the wry wit that fans have come to expect, Radunsky creates a wacky world of bumbling rodents behind the closet door. And for more fun, a keyhole cutout reveals a delightful surprise ending.</p>


                        <p>In this version of the old rhyme the fire turns out to be the smoke from the candles of a birthday cake.
</p>"
9780152060213,Mystery Ride!,['Scott Magoon'],"<p>A Mystery Ride may sound cool. But the three siblings in this story know it means their parents are taking them someplace they would <i>never</i> want to go. Like the Laundromat, the dry cleaners, or the department store.</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; But just when the boys think they’re on the worst Mystery Ride ever, they&nbsp;discover it’s not the destinations that are&nbsp;important—it’s the adventure they have along the way. (And it certainly helps when the&nbsp;journey ends with sprinkles on top . . . )</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>"
9780152085667,Black Pioneers Of Science And Invention,['Louis Haber'],"<p>A readable, perceptive account of the lives of fourteen gifted innovators who have played important roles in scientific and industrial progress. The achievements of Benjamin Banneker, Granville T. Woods, George Washington Carver, and others have made jobs easier, saved countless lives, and in many cases, altered the course of history.<b>&nbsp;&nbsp;&nbsp;&nbsp; <i>Includes a bibliography and an index.</i><br>
</b></p>


                        <p>Traces the lives of fourteen black scientists and inventors who have made significant contributions in the various fields of science and industry.
</p>"
9780152270650,Fair Game,['Erika Tamar'],"<p>A sordid incident on a humid spring afternoon in the affluent suburb of Shorehaven leads to accusations that a group of popular high-school athletes sexually assaulted a retarded teenage girl. But was it gang rape, or was the girl a willing participant? “Meticulously rendered and narrated in speedy, staccato language, this novel is a must-read for any teen who has considered the implications of foul play.”—<i>Publishers Weekly</i></p>


                        <p>High school senior Laura Jean is shocked when the school jocks are accused of gang-raping a retarded girl and her boyfriend Scott appears to be involved.
</p>"
