isbn,title,authors,overview
9781932841435,Before I Forget,"['Pitts, Leonard.']","""A man recently diagnosed with early-onset Alzheimer's disease takes a road trip to visit his ailing, estranged father, along with his troubled teen-aged son""--Provided by publisher."
9781935001126,Born Amish,"['Ruth Irene Garrett', 'Deborah Morse-kahn']","""But what was your life like before?"" 
<p>This is the question that RUTH IRENE GARRETT, nee Miller, has been asked again and again by the thousands of inspired and fascinated guests who have attended her lectures and programs on her life growing up Amish to young womanhood, when she fell in love with an ""Englisher"" and left the Amish community to begin her new life out in the world.</p>
<p>Now, working with co-author and friend DEBORAH MORSE-KAHN, we learn about Ruth Irene Garrett's early life as a child growing up in the Amish farming community of Kalona, Iowa: school, games, and chores; work, crafts, and foods; clothing, farming and tumbling about with many brothers and sisters. We learn about the expectations for girls and boys in Amish families, of social roles and understandings about courtship and marriage, about adult baptism and a life of faith in the Amish Church.</p>
<p> <i>Born Amish</i> is richly illustrated with wonderful color photographs of young people and families in Amish life throughout the American Midwest.</p>"
9781926760681,I Wrote This For You,"['Pleasefindthis', 'Iain S. Thomas']","""I need you to understand something. I wrote this for you. I wrote this for you and only you. Everyone else who reads it, doesn't get it."" 
<p>Started 2007, I Wrote This For You is an acclaimed exploration of hauntingly beautiful words, photography and emotion that's unique to each person that reads it. This book gathers together nearly 200 of the most beautiful entries into four distinct chapters; Sun, Moon, Stars, Rain. Together with several new and exclusive entries that don't appear anywhere else, each chapter of I Wrote This For You focuses on a different facet of life, love, loss, beginnings and endings.</p>"
9781934206812,The Gnostic Bible: The Pistis Sophia Unveiled,['Samael Aun Weor'],"""It came to pass, when Jesus had risen from the dead, that he passed eleven years discoursing with his disciples, and instructing them..."" (The Pistis Sophia) 
<p>The Apostles wrote down what Jesus taught them during those eleven years, resulting in ""The Pistis Sophia,"" the most important Gnostic scripture. Includes an extensive commentary by Samael Aun Weor. ""The Pistis Sophia"" is a sophisticated and deeply mystical teaching given by Jesus about the suffering of Sophia as she attempts to ascend to the highest spiritual truth. This scripture is remarkable for its profound mysticism, its clear rebuke of unethical behavior, and its perspective on the spiritual role of women. Having read this text, it becomes very clear why the established religious powers attempted to obliterate the Gnostics, but failed. Study of this teaching also inspires a re-evaluation of how the Christian Gospels have been interpreted for centuries.</p>
<p>About this scripture, the commentary author Samael Aun Weor said, """"The Hebrew Bible clearly connotes the Word of the Eternal One. However, we, the Gnostics, also have our very special Bible. I want to emphatically declare that this is The Pistis Sophia, whose original is in Coptic. It was found underground in Egypt, the land of the Pharaohs. The Pistis Sophia contains all the words of the adorable Savior of the world. It was written by the Apostles. Thus, all the Esoteric-Christic instructions that Jesus Christ gave to his disciples on the Mount of the Olives and other holy places is written within this book. This book had been conserved in secret for many centuries. In this book, the Adorable One left an extraordinary, formidable body of doctrine.""</p>"
9781932100884,The Psychology Of Harry Potter: An Unauthorized Examination Of The Boy Who Lived,['Neil Mulholland'],"** COMPLETELY UNAUTHORIZED **&nbsp;Leading psychologists delve into the world and characters of Harry Potter in this revealing look at J. K. Rowling's constructed universe, using the characters and their puzzling situations to offer insight into real-world psychology. Designed to appeal to both fans of pop culture and students of psychology, this unique blend of scholarship and contemporary criticism consists of essays by professional psychologists hailing from schools and clinical practices throughout the world. Every major area of psychology is covered as the contributors tackle such heady questions as <i>Is Harry a cranky adolescent or suffering from real post-traumatic-stress disorder?</i> <i>Is Voldemort evil incarnate or a misguided boy now twisted beyond recognition?</i> and <i>Is Snape treacherous or struggling for redemption?,</i> revealing the fictional world's complex psychological brew.<br>"
9781932100082,Seven Seasons Of Buffy: Science Fiction And Fantasy Writers Discuss Their Favorite Television Show (smart Pop Series),['Glenn Yeffeth'],"** COMPLETELY UNAUTHORIZED **&nbsp;This collection of irreverent and surprising essays about the popular television series <i>Buffy the Vampire Slayer</i> includes pieces by leading science fiction and fantasy authors. Contributors include bestselling legend David Brin, critically acclaimed novelist Scott Westerfield, cult-favorite vampire author Chelsea Quinn Yarbro, and award-winner Sarah Zettel. The show and its cast are the topics of such critical pieces as Lawrence Watt-Evans's “Matchmaking in Hellmouth” and Sherrilyn Kenyon's “The Search for Spike's Balls.” An informed introduction for those not well acquainted with the show, and a source of further research for Buffy buffs, this book raises interesting questions concerning a much-loved program and future cult classic.<br>"
9781908402691,Bradshaw's Continental Railway Guide (abridged Version),['George Bradshaw'],"*This electronic edition is an abridged version of the original 1548pp book. All the original text is included, along with a wealth of carefully selected examples from the several hundred pages of timetables and advertisements.* <br>
 Following its bestselling edition of Bradshaw’s Handbook 1863, Old House brings you this fascinating guide to Europe’s rail network on the very brink of the First World War.&nbsp; Published in 1913, it is divided into three sections: timetables for services covering the continent, short guides to each city and notable destination and features, and a wealth of advertisements and ephemeral materials concerning hotels, restaurants and services that might be required by the early twentieth century traveller by rail. It affords a fascinating glimpse of fin de siècle Europe and of a transport network that was shortly to be devastated by the greatest war the world had ever seen."
9781933027937,Vogue® Knitting Stitchionary® Volume Five: Lace Knitting: The Ultimate Stitch Dictionary From The Editors Of Vogue® Knitting Magazine (vogue Knitting Stitchionary Series),['Editors Of Vogue Knitting Magazine'],"<b><i>The newest volume in Vogue Knitting’s must-have series!</i></b> 
<p>Lovely, versatile lace comes in infinite varieties—light and airy, chunky, intricate—and is perennially popular with knitters. Featuring clear, concise instructions, charts, and gorgeous color photographs of over 150 designs, this fifth installment in the successful <i>Stitchionary</i> series provides a complete catalog of lace patterns from the <i>Vogue Knitting</i> archives.</p>
<p>This is sure to be an essential reference for every knitter’s library.</p>
<p class=""null1""><i>Stitchionary #5</i> includes:</p>
<p>- Easy mesh patterns: straightforward and perfect for first-time lace knitters</p>
<p>- Allover patterns: range from small and simple to fairly complex and challenging</p>
<p>- Combinations: lace teams up with cables, embroidery and more</p>
<p>- Edgings: helps knitters find the perfect finishing touch for any garment.</p>
<p>- Motifs: an excellent starting point for a design</p>
<p>- Panels can stand alone or team up with other patterns to create stunning effects</p>
<p>- Chevrons: add movement and visual interest with their undulating rhythms.</p>"
9781931543781,Vogue Knitting on the Go! Crocheted Hats,['Trisha Malcolm'],"<b><i>VogueÂ® Knitting</i> goes wild for hats--and crocheters will too, with this new volume in the wildly popular take-it-with-you series.</b><p>Even novices can get in on the hatmaking fun, because these chic headgear patterns use only the most basic crochet techniques--and go forward one skill at a time. Yet the finished items look as good as something bought from a stylish boutique. A saucy brimmed hat, with a black yarn ribbon and bow trim, is positively adorable. The attractive striped helmet takes its inspiration from Peruvian colors, and has a flap to keep ears toasty warm. Liven up any outfit with a whimsical square cap in an array of pinks. From the sophisticated to the zany, the traditional to the unique, there's a style for everyone.</p>"
9781907967054,I'm Not Ready! (baby Owl),['Jonathan Allen'],"<b>The time comes for every baby bird to fly from its nest…but Baby Owl's not ready.</b> 
<p>It's the first day of preschool, and Mama's in a hurry: ""<i>Please, Baby Owl</i>, we have to go!"" But Baby Owl will do almost ANYTHING to stay at home--even put his toys away! Can Mama convince Baby Owl that school will be fun?</p>
<p>Jonathan Allen has created a comforting and cozy story, filled with his characteristic wit, appealing art, and delightful surprises.</p>"
